기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2009	성동구	126,670	316,064	158,203	157,861	308,058	154,333	153,725	8,006	3,870	4,136	18,759	16.85	2.43	30,300
2009	광진구	156,140	386,513	190,967	195,546	373,998	185,190	188,808	12,515	5,777	6,738	22,653	17.06	2.4	30,288
2009	동대문구	153,437	374,277	187,856	186,421	362,146	182,550	179,596	12,131	5,306	6,825	26,356	14.2	2.36	39,693
2009	중랑구	171,448	429,700	214,546	215,154	424,761	212,576	212,185	4,939	1,970	2,969	23,232	18.5	2.48	39,191
2009	성북구	192,990	484,457	239,463	244,994	476,028	235,755	240,273	8,429	3,708	4,721	19,721	24.57	2.47	49,417
2009	강북구	136,779	343,912	170,346	173,566	340,367	168,998	171,369	3,545	1,348	2,197	14,566	23.61	2.49	38,749
2009	도봉구	139,010	372,398	184,019	188,379	369,733	182,985	186,748	2,665	1,034	1,631	17,988	20.7	2.66	36,245
2009	노원구	225,000	615,161	301,164	313,997	610,616	299,211	311,405	4,545	1,953	2,592	17,360	35.44	2.71	54,756
2009	은평구	185,701	470,782	231,849	238,933	465,895	229,728	236,167	4,887	2,121	2,766	15,855	29.69	2.51	48,979
2009	서대문구	137,062	336,649	164,251	172,398	327,451	160,243	167,208	9,198	4,008	5,190	19,126	17.6	2.39	37,561
2009	마포구	165,750	392,313	191,300	201,013	384,013	187,324	196,689	8,300	3,976	4,324	16,434	23.87	2.32	38,327
2009	양천구	182,363	506,684	251,971	254,713	501,395	249,567	251,828	5,289	2,404	2,885	29,104	17.41	2.75	37,132
2009	강서구	221,975	579,196	285,597	293,599	572,836	282,529	290,307	6,360	3,068	3,292	13,983	41.42	2.58	47,657
2009	구로구	167,404	449,613	227,173	222,440	421,967	212,953	209,014	27,646	14,220	13,426	22,347	20.12	2.52	37,465
2009	금천구	100,285	263,116	134,341	128,775	244,835	124,836	119,999	18,281	9,505	8,776	20,240	13	2.44	22,695
2009	영등포구	168,099	441,747	222,622	219,125	405,798	204,349	201,449	35,949	18,273	17,676	17,983	24.57	2.41	40,498
2009	동작구	163,344	407,973	200,855	207,118	397,920	196,339	201,581	10,053	4,516	5,537	24,954	16.35	2.44	39,971
2009	관악구	241,873	547,311	277,269	270,042	529,869	269,023	260,846	17,442	8,246	9,196	18,510	29.57	2.19	47,311
2009	서초구	166,405	431,131	209,113	222,018	425,481	206,346	219,135	5,650	2,767	2,883	9,172	47	2.56	34,046
2009	강남구	229,431	569,499	274,480	295,019	562,138	270,720	291,418	7,361	3,760	3,601	14,405	39.54	2.45	41,065
2009	송파구	260,681	689,296	337,950	351,346	681,476	334,477	346,999	7,820	3,473	4,347	20,347	33.88	2.61	50,067
2009	강동구	184,793	489,655	245,018	244,637	484,745	243,001	241,744	4,910	2,017	2,893	19,920	24.58	2.62	36,605
2010	합계	4,224,181	10,575,447	5,236,742	5,338,705	10,312,545	5,111,259	5,201,286	262,902	125,483	137,419	17,473	605.25	2.44	1,007,572
2010	종로구	77,621	179,362	89,252	90,110	170,578	85,182	85,396	8,784	4,070	4,714	7,502	23.91	2.2	22,458
2010	중구	61,468	141,200	70,908	70,292	132,822	66,879	65,943	8,378	4,029	4,349	14,177	9.96	2.16	17,504
2010	용산구	113,204	257,143	125,832	131,311	244,853	119,482	125,371	12,290	6,350	5,940	11,759	21.87	2.16	30,996
2010	성동구	129,644	316,892	158,771	158,121	309,093	155,067	154,026	7,799	3,704	4,095	18,808	16.85	2.38	32,094
2010	광진구	159,675	388,775	192,053	196,722	375,463	186,024	189,439	13,312	6,029	7,283	22,786	17.06	2.35	32,241
2010	동대문구	158,485	379,343	190,317	189,026	366,786	184,874	181,912	12,557	5,443	7,114	26,713	14.2	2.31	42,669
2010	중랑구	176,096	432,302	216,255	216,047	427,455	214,383	213,072	4,847	1,872	2,975	23,373	18.5	2.43	41,887
2010	성북구	201,489	497,692	245,659	252,033	488,932	241,927	247,005	8,760	3,732	5,028	20,260	24.57	2.43	53,243
2010	강북구	142,711	350,007	173,373	176,634	346,520	172,109	174,411	3,487	1,264	2,223	14,824	23.61	2.43	41,702
2010	도봉구	140,603	370,734	183,283	187,451	368,298	182,407	185,891	2,436	876	1,560	17,908	20.7	2.62	38,214
2010	노원구	228,022	615,425	301,141	314,284	611,230	299,384	311,846	4,195	1,757	2,438	17,367	35.44	2.68	57,049
2010	은평구	196,390	492,925	242,564	250,361	488,109	240,536	247,573	4,816	2,028	2,788	16,601	29.69	2.49	53,779
2010	서대문구	138,473	333,871	162,823	171,048	324,541	158,857	165,684	9,330	3,966	5,364	18,968	17.6	2.34	39,497
2010	마포구	170,531	400,464	195,145	205,319	391,865	191,034	200,831	8,599	4,111	4,488	16,776	23.87	2.3	41,457
2010	양천구	183,718	505,223	251,368	253,855	500,001	249,024	250,977	5,222	2,344	2,878	29,020	17.41	2.72	39,067
2010	강서구	225,313	580,506	286,324	294,182	574,127	283,248	290,879	6,379	3,076	3,303	14,015	41.42	2.55	50,349
2010	구로구	170,317	452,667	229,189	223,478	423,736	214,032	209,704	28,931	15,157	13,774	22,499	20.12	2.49	39,389
2010	금천구	103,412	264,544	135,717	128,827	245,195	125,528	119,667	19,349	10,189	9,160	20,350	13	2.37	23,995
2010	영등포구	171,791	445,648	225,127	220,521	406,833	205,106	201,727	38,815	20,021	18,794	18,141	24.57	2.37	42,764
2010	동작구	167,887	413,814	203,608	210,206	402,709	198,587	204,122	11,105	5,021	6,084	25,312	16.35	2.4	42,539
2010	관악구	247,588	549,736	278,445	271,291	531,434	269,783	261,651	18,302	8,662	9,640	18,592	29.57	2.15	50,663
2010	서초구	170,882	440,021	213,200	226,821	434,720	210,652	224,068	5,301	2,548	2,753	9,361	47	2.54	37,131
